"";"STN";"Weeknr";"Degrees_Celsius_min.mean";"Degrees_Celsius_avg.mean";"Degrees_Celsius_max.mean";"Rainfall_mm.mean";"LON.east.";"LAT.north.";"ALT.m.";"NAME"
"1";210;1;4;6.38095238095238;8.66666666666667;39.7142857142857;4.43;52.171;-0.2;"VALKENBURG"
"2";210;38;10.9285714285714;15.2857142857143;19.2142857142857;26;4.43;52.171;-0.2;"VALKENBURG"
"3";210;44;7.71428571428571;11.4285714285714;15.2142857142857;8.57142857142857;4.43;52.171;-0.2;"VALKENBURG"
"4";210;19;8.71428571428571;12.2857142857143;15.7857142857143;29.9285714285714;4.43;52.171;-0.2;"VALKENBURG"
"5";210;25;11.2857142857143;14.7142857142857;18;12.8571428571429;4.43;52.171;-0.2;"VALKENBURG"
"6";210;6;3.47619047619048;5.85714285714286;8;26.8571428571429;4.43;52.171;-0.2;"VALKENBURG"
"7";210;12;3.71428571428571;6.61904761904762;9.71428571428571;16;4.43;52.171;-0.2;"VALKENBURG"
"8";210;37;10.5;15.2857142857143;20;11.2857142857143;4.43;52.171;-0.2;"VALKENBURG"
"9";210;16;4.38095238095238;9.42857142857143;13.7619047619048;4.76190476190476;4.43;52.171;-0.2;"VALKENBURG"
"10";210;18;5.5;10.5555555555556;14.3333333333333;15.3333333333333;4.43;52.171;-0.2;"VALKENBURG"
"11";210;24;10.4285714285714;15.5714285714286;19.7857142857143;0.857142857142857;4.43;52.171;-0.2;"VALKENBURG"
"12";210;5;2.42857142857143;4.85714285714286;7.19047619047619;28.0952380952381;4.43;52.171;-0.2;"VALKENBURG"
"13";210;30;14.6428571428571;18.2857142857143;22;56.6428571428571;4.43;52.171;-0.2;"VALKENBURG"
"14";210;34;12.0714285714286;16.2142857142857;20.3571428571429;70.2142857142857;4.43;52.171;-0.2;"VALKENBURG"
"15";210;36;11.9285714285714;15.6428571428571;18.9285714285714;28.9285714285714;4.43;52.171;-0.2;"VALKENBURG"
"16";210;17;5.19047619047619;9.33333333333333;13.2380952380952;14.8095238095238;4.43;52.171;-0.2;"VALKENBURG"
"17";210;23;10.0714285714286;15.8571428571429;21;19.6428571428571;4.43;52.171;-0.2;"VALKENBURG"
"18";210;48;4.1875;6.3125;8.0625;27.5;4.43;52.171;-0.2;"VALKENBURG"
"19";210;27;13.7142857142857;18.8571428571429;23.4285714285714;27.9285714285714;4.43;52.171;-0.2;"VALKENBURG"
"20";210;4;3.04761904761905;5.42857142857143;7.57142857142857;38.4761904761905;4.43;52.171;-0.2;"VALKENBURG"
"21";210;35;12.3571428571429;16.5714285714286;20.5714285714286;20.3571428571429;4.43;52.171;-0.2;"VALKENBURG"
"22";210;14;5.38095238095238;9.28571428571429;13.047619047619;20.952380952381;4.43;52.171;-0.2;"VALKENBURG"
"23";210;41;7.71428571428571;11.2142857142857;14.5714285714286;11.5;4.43;52.171;-0.2;"VALKENBURG"
"24";210;53;5;7;8.66666666666667;24.6666666666667;4.43;52.171;-0.2;"VALKENBURG"
"25";210;47;4.07142857142857;7.14285714285714;9.71428571428571;37.1428571428571;4.43;52.171;-0.2;"VALKENBURG"
"26";210;28;14.3571428571429;17.5714285714286;21.1428571428571;8.92857142857143;4.43;52.171;-0.2;"VALKENBURG"
"27";210;7;0.761904761904762;4.14285714285714;7.47619047619048;12.1428571428571;4.43;52.171;-0.2;"VALKENBURG"
"28";210;9;1.71428571428571;4.90476190476191;8.19047619047619;21.1904761904762;4.43;52.171;-0.2;"VALKENBURG"
"29";210;15;4.80952380952381;9.80952380952381;14.3809523809524;4.04761904761905;4.43;52.171;-0.2;"VALKENBURG"
"30";210;40;8.92857142857143;13.4285714285714;17.7142857142857;17.8571428571429;4.43;52.171;-0.2;"VALKENBURG"
